,time (ms),velocity (rpm),target (rpm)
575,5864,3.5,95
576,5874,3.26,95
577,5884,3.07,95
578,5894,3.12,95
579,5904,3.16,95
580,5914,2.98,95
581,5924,2.77,95
582,5934,2.6,95
583,5944,2.46,95
584,5954,2.41,95
585,5964,2.38,95
586,5974,2.35,95
587,5984,2.12,95
588,5994,1.93,95
589,6004,1.98,95
590,6014,2.03,95
591,6024,1.86,95
592,6034,1.51,95
593,6044,1.43,95
